clusNum,repre
153,"(40.6540216666667, 22.9077683333333)"
154,"(40.66311833333329, 22.93168)"
155,"(40.6674933333333, 22.9372666666667)"
156,"(40.65851666666671, 22.9438466666667)"
157,"(40.690615, 22.7197466666667)"
158,"(40.68786166666671, 22.9600616666667)"
159,"(40.8091316666667, 22.9441483333333)"
160,"(40.65340333333329, 22.9349483333333)"
161,"(40.6501233333333, 22.9375633333333)"
162,"(41.04490666666671, 23.2998116666667)"
163,"(40.523985, 22.9794416666667)"
164,"(40.66384, 22.8960283333333)"
165,"(40.6554666666667, 22.90449)"
166,"(40.6183466666667, 22.9601)"
167,"(40.6618616666667, 22.946535)"
168,"(41.04490666666671, 23.2998116666667)"
169,"(40.6342816666667, 22.9390983333333)"
170,"(40.671805, 22.9205833333333)"
171,"(40.599705, 22.9552583333333)"
172,"(40.6338, 22.9372683333333)"
173,"(40.6524816666667, 22.9207133333333)"
174,"(40.73932666666671, 22.839125)"
175,"(40.617715, 22.9541633333333)"
176,"(40.5479983333333, 22.9853183333333)"
